sec,nanosec,frame_id,steering_angle,steering_angle_velocity,speed,acceleration,jerk
1741043560,664935635,,0.30127230286598206,0.0,2.1511433124542236,0.0,0.0
1741043560,675677001,,0.3400000035762787,0.0,2.1511433124542236,0.0,0.0
1741043560,707076865,,0.3400000035762787,0.0,1.7366772890090942,0.0,0.0
1741043560,728965233,,0.3400000035762787,0.0,1.6330993175506592,0.0,0.0
1741043560,750319611,,0.3400000035762787,0.0,1.322365403175354,0.0,0.0
1741043560,770554137,,0.3400000035762787,0.0,1.2187875509262085,0.0,0.0
1741043560,791297340,,0.3400000035762787,0.0,1.2187875509262085,0.0,0.0
1741043560,801878672,,0.3400000035762787,0.0,1.166844367980957,0.0,0.0
1741043560,822249295,,0.3400000035762787,0.0,1.322365403175354,0.0,0.0
1741043560,844232704,,0.24138329923152924,0.0,1.322365403175354,0.0,0.0
1741043560,857607890,,0.0,0.0,1.322365403175354,0.0,0.0
1741043560,860310288,,-0.05116172507405281,0.0,1.3741543292999268,0.0,0.0
1741043560,871098726,,0.0,0.0,1.166844367980957,0.0,0.0
1741043560,921899507,,0.0,0.0,1.166844367980957,0.0,0.0
1741043560,984738723,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043561,35316461,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043561,86465086,,0.0,0.0,1.6330993175506592,0.0,0.0
1741043561,137790704,,0.0,0.0,1.7366772890090942,0.0,0.0
1741043561,188375674,,0.0,0.0,1.7366772890090942,0.0,0.0
1741043561,228951415,,0.0,0.0,1.8402552604675293,0.0,0.0
1741043561,270798113,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,320546690,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,371804724,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,422661537,,0.0,0.0,1.8921984434127808,0.0,0.0
1741043561,454371293,,-0.04059677571058273,0.0,1.8921984434127808,0.0,0.0
1741043561,464602989,,-0.06524833291769028,0.0,1.8921984434127808,0.0,0.0
1741043561,475082623,,-0.0863887220621109,0.0,1.8921984434127808,0.0,0.0
1741043561,485466001,,-0.11808358132839203,0.0,1.8921984434127808,0.0,0.0
1741043561,495991109,,-0.13218066096305847,0.0,1.8921984434127808,0.0,0.0
1741043561,506046259,,-0.14978891611099243,0.0,1.8921984434127808,0.0,0.0
1741043561,526589588,,-0.20614580810070038,0.0,1.8921984434127808,0.0,0.0
1741043561,538666872,,-0.2202429175376892,0.0,1.8921984434127808,0.0,0.0
1741043561,547933726,,-0.24137282371520996,0.0,1.8921984434127808,0.0,0.0
