sec,nanosec,child_frame_id,orientation_x,orientation_y,orientation_z,orientation_w,,,,,,,,,,twist_angular_x,twist_angular_y,twist_angular_z,,,,,,,,,,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z,,,,,,,,,
1741043633,182784401,base_link,0.079851352,-0.014316411,-0.929239213,-0.360462755,0,0,0,0,0,0,0,0,0,2.563476563,7.751464844,-78.79638672,0,0,0,0,0,0,0,0,0,-0.129394531,0.001953125,1.054199219,0,0,0,0,0,0,0,0,0
1741043633,202574441,base_link,0.080274016,-0.015504243,-0.92405051,-0.373425335,0,0,0,0,0,0,0,0,0,3.967285156,7.385253906,-79.40673828,0,0,0,0,0,0,0,0,0,-0.166503906,0.001953125,0.979003906,0,0,0,0,0,0,0,0,0
1741043633,222816965,base_link,0.081317753,-0.015892971,-0.918777764,-0.385982364,0,0,0,0,0,0,0,0,0,-3.479003906,-0.061035156,-79.34570313,0,0,0,0,0,0,0,0,0,-0.235839844,0.051757813,0.946289063,0,0,0,0,0,0,0,0,0
1741043633,242600829,base_link,0.082549781,-0.016497733,-0.913344324,-0.398391247,0,0,0,0,0,0,0,0,0,4.943847656,1.159667969,-78.55224609,0,0,0,0,0,0,0,0,0,-0.220214844,-0.014160156,1.097167969,0,0,0,0,0,0,0,0,0
1741043633,263044539,base_link,0.083053775,-0.0178119,-0.907780349,-0.410754919,0,0,0,0,0,0,0,0,0,8.422851563,-2.502441406,-78.125,0,0,0,0,0,0,0,0,0,-0.220703125,-0.005371094,1.0234375,0,0,0,0,0,0,0,0,0
1741043633,278908296,base_link,0.083283231,-0.018258939,-0.902167797,-0.422875792,0,0,0,0,0,0,0,0,0,-4.821777344,0.732421875,-78.00292969,0,0,0,0,0,0,0,0,0,-0.186035156,0.052734375,0.884765625,0,0,0,0,0,0,0,0,0
1741043633,297929623,base_link,0.084133163,-0.018188328,-0.896312594,-0.434988141,0,0,0,0,0,0,0,0,0,-4.089355469,7.629394531,-78.24707031,0,0,0,0,0,0,0,0,0,-0.161132813,0.020996094,1.057617188,0,0,0,0,0,0,0,0,0
1741043633,322752166,base_link,0.084329039,-0.018841855,-0.890271842,-0.447157472,0,0,0,0,0,0,0,0,0,4.760742188,-3.295898438,-78.18603516,0,0,0,0,0,0,0,0,0,-0.229980469,-0.018066406,1.10546875,0,0,0,0,0,0,0,0,0
1741043633,342738399,base_link,0.084015071,-0.019316999,-0.884192586,-0.459098816,0,0,0,0,0,0,0,0,0,2.563476563,-2.136230469,-77.33154297,0,0,0,0,0,0,0,0,0,-0.196777344,0.032226563,1.024414063,0,0,0,0,0,0,0,0,0
1741043633,358335561,base_link,0.083919995,-0.020382764,-0.877867699,-0.471052438,0,0,0,0,0,0,0,0,0,4.699707031,7.8125,-78.73535156,0,0,0,0,0,0,0,0,0,-0.119140625,0.031738281,1.151367188,0,0,0,0,0,0,0,0,0
1741043633,382718323,base_link,0.083805509,-0.020904303,-0.871365726,-0.48297146,0,0,0,0,0,0,0,0,0,-1.098632813,2.807617188,-79.71191406,0,0,0,0,0,0,0,0,0,-0.160644531,0.035644531,0.921386719,0,0,0,0,0,0,0,0,0
1741043633,402598699,base_link,0.084313303,-0.021388859,-0.864594758,-0.494883627,0,0,0,0,0,0,0,0,0,1.281738281,2.9296875,-78.85742188,0,0,0,0,0,0,0,0,0,-0.160644531,0.004394531,0.89453125,0,0,0,0,0,0,0,0,0
1741043633,422534244,base_link,0.084071852,-0.022070043,-0.857757032,-0.506653368,0,0,0,0,0,0,0,0,0,1.403808594,-0.48828125,-79.1015625,0,0,0,0,0,0,0,0,0,-0.181152344,0.001464844,0.980957031,0,0,0,0,0,0,0,0,0
1741043633,443006627,base_link,0.084509388,-0.023154827,-0.850595474,-0.51846838,0,0,0,0,0,0,0,0,0,5.187988281,17.45605469,-79.22363281,0,0,0,0,0,0,0,0,0,-0.102050781,-0.009277344,1.029296875,0,0,0,0,0,0,0,0,0
1741043633,462646297,base_link,0.084340468,-0.023774423,-0.843407691,-0.530080199,0,0,0,0,0,0,0,0,0,0.366210938,-8.239746094,-79.40673828,0,0,0,0,0,0,0,0,0,-0.284667969,0.041992188,1.008300781,0,0,0,0,0,0,0,0,0
1741043633,482582514,base_link,0.08464092,-0.02412984,-0.836136818,-0.541413903,0,0,0,0,0,0,0,0,0,0.48828125,6.286621094,-77.33154297,0,0,0,0,0,0,0,0,0,-0.193359375,0.016601563,1.089355469,0,0,0,0,0,0,0,0,0
1741043633,502621836,base_link,0.084295645,-0.025403244,-0.828859866,-0.552485526,0,0,0,0,0,0,0,0,0,6.713867188,0.915527344,-75.74462891,0,0,0,0,0,0,0,0,0,-0.197753906,-0.016113281,1.080566406,0,0,0,0,0,0,0,0,0
1741043633,522861801,base_link,0.084116563,-0.025951149,-0.821594894,-0.56323427,0,0,0,0,0,0,0,0,0,-2.624511719,2.563476563,-75.68359375,0,0,0,0,0,0,0,0,0,-0.172363281,0.034179688,0.889160156,0,0,0,0,0,0,0,0,0
1741043633,543152774,base_link,0.084598564,-0.026107974,-0.81419909,-0.573795617,0,0,0,0,0,0,0,0,0,-2.380371094,3.234863281,-74.46289063,0,0,0,0,0,0,0,0,0,-0.163085938,-0.008789063,0.946289063,0,0,0,0,0,0,0,0,0
1741043633,562573721,base_link,0.085105971,-0.026618956,-0.806915939,-0.583896577,0,0,0,0,0,0,0,0,0,4.089355469,-4.516601563,-70.55664063,0,0,0,0,0,0,0,0,0,-0.231445313,-0.043457031,1.024902344,0,0,0,0,0,0,0,0,0
1741043633,582875158,base_link,0.084691316,-0.027683597,-0.799929738,-0.593442082,0,0,0,0,0,0,0,0,0,2.563476563,1.220703125,-67.07763672,0,0,0,0,0,0,0,0,0,-0.182128906,0.000976563,1.016113281,0,0,0,0,0,0,0,0,0
1741043633,602606029,base_link,0.083603665,-0.028078988,-0.793334424,-0.602364182,0,0,0,0,0,0,0,0,0,1.708984375,-6.896972656,-62.01171875,0,0,0,0,0,0,0,0,0,-0.223144531,0.021484375,1.085449219,0,0,0,0,0,0,0,0,0
