# x_m,y_m,w_tr_right_m,w_tr_left_m
-1.6200,-3.8800,0.3000,0.3000
-1.6700,-3.8800,0.3000,0.3000
-1.7200,-3.8800,0.3000,0.3000
-1.7700,-3.8800,0.3041,0.3041
-1.8200,-3.8800,0.3162,0.3162
-1.8700,-3.8800,0.3354,0.3354
-1.9200,-3.8800,0.3500,0.3500
-1.9700,-3.8800,0.3500,0.3500
-2.0200,-3.8800,0.3354,0.3354
-2.0700,-3.9300,0.3000,0.3000
-2.1200,-3.9300,0.3000,0.3000
-2.1700,-3.9300,0.3000,0.3000
-2.2200,-3.9300,0.3000,0.3000
-2.2700,-3.9300,0.3041,0.3041
-2.3200,-3.9300,0.3162,0.3162
-2.3700,-3.9300,0.3354,0.3354
-2.4200,-3.9300,0.3500,0.3500
-2.4700,-3.9300,0.3354,0.3354
-2.5200,-3.9300,0.3162,0.3162
-2.5700,-3.9800,0.3000,0.3000
-2.6200,-3.9800,0.3041,0.3041
-2.6700,-3.9800,0.3162,0.3162
-2.7200,-3.9800,0.3354,0.3354
-2.7700,-3.9800,0.3500,0.3500
-2.8200,-3.9800,0.3500,0.3500
-2.8700,-3.9800,0.3500,0.3500
-2.9200,-3.9800,0.3500,0.3500
-2.9700,-3.9800,0.3500,0.3500
-3.0200,-3.9800,0.3500,0.3500
-3.0700,-3.9800,0.3500,0.3500
-3.1200,-3.9800,0.3500,0.3500
-3.1700,-3.9800,0.3500,0.3500
-3.2200,-3.9800,0.3500,0.3500
-3.2700,-3.9800,0.3500,0.3500
-3.3200,-3.9800,0.3500,0.3500
-3.3700,-3.9800,0.3500,0.3500
-3.4200,-4.0300,0.3500,0.3500
-3.4700,-4.0300,0.3536,0.3536
-3.5200,-4.0300,0.3640,0.3640
-3.5700,-4.0300,0.3808,0.3808
-3.6200,-4.0300,0.4000,0.4000
-3.6700,-4.0300,0.4000,0.4000
-3.7200,-4.0300,0.4000,0.4000
-3.7700,-4.0300,0.4000,0.4000
-3.8200,-3.9800,0.3536,0.3536
-3.8700,-3.9800,0.3640,0.3640
-3.9200,-3.9800,0.3808,0.3808
-3.9700,-3.9300,0.3606,0.3606
-4.0200,-3.9300,0.3808,0.3808
-4.0700,-3.8800,0.3606,0.3606
-4.0700,-3.8300,0.3606,0.3606
-4.0700,-3.7800,0.3354,0.3354
-4.1200,-3.7300,0.3640,0.3640
-4.1200,-3.6800,0.3536,0.3536
-4.1200,-3.6300,0.3500,0.3500
-4.1200,-3.5800,0.3500,0.3500
-4.1200,-3.5300,0.3500,0.3500
-4.1700,-3.4800,0.4031,0.4031
-4.1700,-3.4300,0.4123,0.4123
-4.1700,-3.3800,0.4272,0.4272
-4.1700,-3.3300,0.4472,0.4472
-4.1700,-3.2800,0.4717,0.4717
-4.1700,-3.2300,0.5000,0.5000
-4.1700,-3.1800,0.5315,0.5315
-4.1700,-3.1300,0.5500,0.5500
-4.1700,-3.0800,0.5500,0.5500
-4.1200,-3.0300,0.5831,0.5831
-4.1200,-2.9800,0.5590,0.5590
-4.0700,-2.9300,0.5852,0.5852
-4.0200,-2.9300,0.6021,0.6021
-3.9700,-2.8800,0.6103,0.6103
-3.9200,-2.8300,0.6265,0.6265
-3.8700,-2.8300,0.6042,0.6042
-3.8200,-2.7800,0.6325,0.6325
-3.7700,-2.7300,0.6671,0.6671
-3.7200,-2.7300,0.6500,0.6500
-3.6700,-2.6800,0.6708,0.6708
-3.6200,-2.6800,0.6671,0.6671
