# x_m,y_m,w_tr_right_m,w_tr_left_m
-4.1400,-1.2200,0.3041,0.3041
-4.1400,-1.2700,0.3000,0.3000
-4.1400,-1.3200,0.3000,0.3000
-4.1400,-1.3700,0.3041,0.3041
-4.0900,-1.4200,0.2693,0.2693
-4.0900,-1.4700,0.2915,0.2915
-4.0400,-1.5200,0.2828,0.2828
-3.9900,-1.5700,0.2828,0.2828
-3.9900,-1.6200,0.2828,0.2828
-3.9400,-1.6700,0.2915,0.2915
-3.9400,-1.7200,0.2693,0.2693
-3.9400,-1.7700,0.2550,0.2550
-3.9400,-1.8200,0.2500,0.2500
-3.9400,-1.8700,0.2500,0.2500
-3.8900,-1.9200,0.3041,0.3041
-3.8900,-1.9700,0.3162,0.3162
